date,p,name
2025-08-30,3.510407654600994e-08,4
2025-08-31,3.3990099705163244e-08,4
2025-09-01,2.6872586512336734e-08,4
2025-09-02,3.4445691004643104e-08,4
2025-09-03,2.662485304301719e-08,4
2025-09-04,3.395811399455037e-08,4
2025-09-05,4.880866999108173e-08,4
2025-09-06,4.579222705345804e-08,4
2025-09-07,4.2286915578945295e-08,4
2025-09-08,3.7353258338534505e-08,4
2025-09-09,7.403523084438586e-08,4
2025-09-10,6.688385633851474e-08,4
2025-09-11,8.321497486447442e-08,4
2025-09-12,1.1286670042006929e-07,4
2025-09-13,1.7827183864026026e-07,4
2025-09-14,2.259625350028596e-07,4
2025-09-15,1.8112788477400964e-07,4
2025-09-16,1.8969600650860006e-07,4
2025-09-17,1.943776978709199e-07,4
2025-09-18,2.0701106121757008e-07,4
