date,atlas_inflation
2025-08-20,2335
2025-08-21,204940
2025-08-22,147021
2025-08-23,129616
2025-08-24,127184
2025-08-25,143842
2025-08-26,162192
2025-08-27,172569
2025-08-28,178876
2025-08-29,187549
2025-08-30,208090
2025-08-31,221959
2025-09-01,252226
2025-09-02,252536
2025-09-03,257610
2025-09-04,275081
2025-09-05,263263
2025-09-06,272750
2025-09-07,268894
2025-09-08,285598
2025-09-09,279453
2025-09-10,277871
2025-09-11,265630
2025-09-12,258661
2025-09-13,244420
2025-09-14,239366
2025-09-15,237843
2025-09-16,234688
2025-09-17,235725
2025-09-18,259995
2025-09-19,214369
